id,features,label
22,"{""user_id"": 1022, ""item_id"": 2022, ""age"": 41, ""income"": 81550, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
23,"{""user_id"": 1023, ""item_id"": 2023, ""age"": 39, ""income"": 53113, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
24,"{""user_id"": 1024, ""item_id"": 2024, ""age"": 45, ""income"": 88531, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""F""}",0
25,"{""user_id"": 1025, ""item_id"": 2025, ""age"": 34, ""income"": 41510, ""cate_id"": ""103"", ""brand"": ""BrandD"", ""gender"": ""F""}",1
26,"{""user_id"": 1026, ""item_id"": 2026, ""age"": 35, ""income"": 56677, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
27,"{""user_id"": 1027, ""item_id"": 2027, ""age"": 36, ""income"": 71534, ""cate_id"": ""103"", ""brand"": ""BrandD"", ""gender"": ""M""}",0
28,"{""user_id"": 1028, ""item_id"": 2028, ""age"": 46, ""income"": 59653, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
29,"{""user_id"": 1029, ""item_id"": 2029, ""age"": 46, ""income"": 42179, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
30,"{""user_id"": 1030, ""item_id"": 2030, ""age"": 18, ""income"": 73211, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
31,"{""user_id"": 1031, ""item_id"": 2031, ""age"": 27, ""income"": 65144, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""F""}",0
32,"{""user_id"": 1032, ""item_id"": 2032, ""age"": 43, ""income"": 30000, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""F""}",0
33,"{""user_id"": 1033, ""item_id"": 2033, ""age"": 18, ""income"": 45563, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
34,"{""user_id"": 1034, ""item_id"": 2034, ""age"": 29, ""income"": 53076, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""M""}",0
35,"{""user_id"": 1035, ""item_id"": 2035, ""age"": 39, ""income"": 55116, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
36,"{""user_id"": 1036, ""item_id"": 2036, ""age"": 39, ""income"": 92841, ""cate_id"": ""103"", ""brand"": ""BrandC"", ""gender"": ""M""}",1
37,"{""user_id"": 1037, ""item_id"": 2037, ""age"": 28, ""income"": 70136, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
38,"{""user_id"": 1038, ""item_id"": 2038, ""age"": 40, ""income"": 76432, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
39,"{""user_id"": 1039, ""item_id"": 2039, ""age"": 37, ""income"": 85010, ""cate_id"": ""103"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
40,"{""user_id"": 1040, ""item_id"": 2040, ""age"": 29, ""income"": 57678, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""M""}",1
41,"{""user_id"": 1041, ""item_id"": 2041, ""age"": 31, ""income"": 66719, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
42,"{""user_id"": 1042, ""item_id"": 2042, ""age"": 36, ""income"": 56831, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
43,"{""user_id"": 1043, ""item_id"": 2043, ""age"": 37, ""income"": 76770, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
44,"{""user_id"": 1044, ""item_id"": 2044, ""age"": 37, ""income"": 30000, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""M""}",0
45,"{""user_id"": 1045, ""item_id"": 2045, ""age"": 29, ""income"": 41838, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
46,"{""user_id"": 1046, ""item_id"": 2046, ""age"": 18, ""income"": 79788, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""F""}",0
47,"{""user_id"": 1047, ""item_id"": 2047, ""age"": 31, ""income"": 57564, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""F""}",1
48,"{""user_id"": 1048, ""item_id"": 2048, ""age"": 44, ""income"": 46243, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""M""}",1
49,"{""user_id"": 1049, ""item_id"": 2049, ""age"": 33, ""income"": 56754, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
50,"{""user_id"": 1050, ""item_id"": 2050, ""age"": 43, ""income"": 69407, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
51,"{""user_id"": 1051, ""item_id"": 2051, ""age"": 47, ""income"": 73274, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
52,"{""user_id"": 1052, ""item_id"": 2052, ""age"": 43, ""income"": 62479, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
53,"{""user_id"": 1053, ""item_id"": 2053, ""age"": 47, ""income"": 68914, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""M""}",0
54,"{""user_id"": 1054, ""item_id"": 2054, ""age"": 37, ""income"": 37778, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
55,"{""user_id"": 1055, ""item_id"": 2055, ""age"": 38, ""income"": 34072, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
56,"{""user_id"": 1056, ""item_id"": 2056, ""age"": 45, ""income"": 66203, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
57,"{""user_id"": 1057, ""item_id"": 2057, ""age"": 44, ""income"": 45179, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
58,"{""user_id"": 1058, ""item_id"": 2058, ""age"": 48, ""income"": 86982, ""cate_id"": ""103"", ""brand"": ""BrandD"", ""gender"": ""F""}",1
59,"{""user_id"": 1059, ""item_id"": 2059, ""age"": 41, ""income"": 49532, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
60,"{""user_id"": 1060, ""item_id"": 2060, ""age"": 33, ""income"": 43025, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
61,"{""user_id"": 1061, ""item_id"": 2061, ""age"": 44, ""income"": 56204, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
62,"{""user_id"": 1062, ""item_id"": 2062, ""age"": 27, ""income"": 83138, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
63,"{""user_id"": 1063, ""item_id"": 2063, ""age"": 36, ""income"": 85962, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
64,"{""user_id"": 1064, ""item_id"": 2064, ""age"": 38, ""income"": 31850, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
65,"{""user_id"": 1065, ""item_id"": 2065, ""age"": 33, ""income"": 88178, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
66,"{""user_id"": 1066, ""item_id"": 2066, ""age"": 29, ""income"": 74268, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
67,"{""user_id"": 1067, ""item_id"": 2067, ""age"": 65, ""income"": 68122, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
68,"{""user_id"": 1068, ""item_id"": 2068, ""age"": 39, ""income"": 55727, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
69,"{""user_id"": 1069, ""item_id"": 2069, ""age"": 52, ""income"": 70321, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""M""}",0
70,"{""user_id"": 1070, ""item_id"": 2070, ""age"": 22, ""income"": 84134, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",0
71,"{""user_id"": 1071, ""item_id"": 2071, ""age"": 31, ""income"": 52713, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
72,"{""user_id"": 1072, ""item_id"": 2072, ""age"": 45, ""income"": 64801, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
73,"{""user_id"": 1073, ""item_id"": 2073, ""age"": 39, ""income"": 52886, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
74,"{""user_id"": 1074, ""item_id"": 2074, ""age"": 28, ""income"": 64782, ""cate_id"": ""103"", ""brand"": ""BrandD"", ""gender"": ""F""}",0
75,"{""user_id"": 1075, ""item_id"": 2075, ""age"": 26, ""income"": 51184, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
76,"{""user_id"": 1076, ""item_id"": 2076, ""age"": 48, ""income"": 66206, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""M""}",1
77,"{""user_id"": 1077, ""item_id"": 2077, ""age"": 52, ""income"": 60090, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
78,"{""user_id"": 1078, ""item_id"": 2078, ""age"": 26, ""income"": 55589, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""M""}",0
79,"{""user_id"": 1079, ""item_id"": 2079, ""age"": 27, ""income"": 46538, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
80,"{""user_id"": 1080, ""item_id"": 2080, ""age"": 53, ""income"": 52143, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
81,"{""user_id"": 1081, ""item_id"": 2081, ""age"": 40, ""income"": 56265, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
82,"{""user_id"": 1082, ""item_id"": 2082, ""age"": 20, ""income"": 41579, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
83,"{""user_id"": 1083, ""item_id"": 2083, ""age"": 37, ""income"": 35924, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
84,"{""user_id"": 1084, ""item_id"": 2084, ""age"": 33, ""income"": 66408, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
85,"{""user_id"": 1085, ""item_id"": 2085, ""age"": 29, ""income"": 70338, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""M""}",0
86,"{""user_id"": 1086, ""item_id"": 2086, ""age"": 65, ""income"": 90944, ""cate_id"": ""103"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
87,"{""user_id"": 1087, ""item_id"": 2087, ""age"": 35, ""income"": 46035, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
88,"{""user_id"": 1088, ""item_id"": 2088, ""age"": 55, ""income"": 75378, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
89,"{""user_id"": 1089, ""item_id"": 2089, ""age"": 40, ""income"": 72216, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""M""}",1
90,"{""user_id"": 1090, ""item_id"": 2090, ""age"": 44, ""income"": 72038, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
91,"{""user_id"": 1091, ""item_id"": 2091, ""age"": 44, ""income"": 49006, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
92,"{""user_id"": 1092, ""item_id"": 2092, ""age"": 18, ""income"": 37879, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
93,"{""user_id"": 1093, ""item_id"": 2093, ""age"": 42, ""income"": 60753, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
94,"{""user_id"": 1094, ""item_id"": 2094, ""age"": 38, ""income"": 72543, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
95,"{""user_id"": 1095, ""item_id"": 2095, ""age"": 51, ""income"": 56642, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
96,"{""user_id"": 1096, ""item_id"": 2096, ""age"": 18, ""income"": 62786, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""M""}",1
97,"{""user_id"": 1097, ""item_id"": 2097, ""age"": 43, ""income"": 58679, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
98,"{""user_id"": 1098, ""item_id"": 2098, ""age"": 22, ""income"": 79043, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
99,"{""user_id"": 1099, ""item_id"": 2099, ""age"": 19, ""income"": 44916, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""F""}",0
100,"{""user_id"": 1100, ""item_id"": 2100, ""age"": 38, ""income"": 73788, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
101,"{""user_id"": 1101, ""item_id"": 2101, ""age"": 34, ""income"": 44597, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
102,"{""user_id"": 1102, ""item_id"": 2102, ""age"": 43, ""income"": 66543, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
103,"{""user_id"": 1103, ""item_id"": 2103, ""age"": 36, ""income"": 53006, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
104,"{""user_id"": 1104, ""item_id"": 2104, ""age"": 34, ""income"": 61803, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
105,"{""user_id"": 1105, ""item_id"": 2105, ""age"": 42, ""income"": 65011, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""F""}",0
106,"{""user_id"": 1106, ""item_id"": 2106, ""age"": 50, ""income"": 51230, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
107,"{""user_id"": 1107, ""item_id"": 2107, ""age"": 44, ""income"": 66951, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
108,"{""user_id"": 1108, ""item_id"": 2108, ""age"": 38, ""income"": 67420, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
109,"{""user_id"": 1109, ""item_id"": 2109, ""age"": 45, ""income"": 60959, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
110,"{""user_id"": 1110, ""item_id"": 2110, ""age"": 44, ""income"": 78803, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
111,"{""user_id"": 1111, ""item_id"": 2111, ""age"": 39, ""income"": 62124, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
112,"{""user_id"": 1112, ""item_id"": 2112, ""age"": 47, ""income"": 59872, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
113,"{""user_id"": 1113, ""item_id"": 2113, ""age"": 42, ""income"": 72205, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
114,"{""user_id"": 1114, ""item_id"": 2114, ""age"": 40, ""income"": 61822, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
115,"{""user_id"": 1115, ""item_id"": 2115, ""age"": 28, ""income"": 61917, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""F""}",1
116,"{""user_id"": 1116, ""item_id"": 2116, ""age"": 44, ""income"": 54615, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""F""}",0
117,"{""user_id"": 1117, ""item_id"": 2117, ""age"": 50, ""income"": 54529, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
118,"{""user_id"": 1118, ""item_id"": 2118, ""age"": 24, ""income"": 74433, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""F""}",1
119,"{""user_id"": 1119, ""item_id"": 2119, ""age"": 49, ""income"": 61214, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""M""}",0
120,"{""user_id"": 1120, ""item_id"": 2120, ""age"": 41, ""income"": 80628, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""M""}",1
121,"{""user_id"": 1121, ""item_id"": 2121, ""age"": 23, ""income"": 58738, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""F""}",0
122,"{""user_id"": 1122, ""item_id"": 2122, ""age"": 27, ""income"": 74300, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""M""}",0
123,"{""user_id"": 1123, ""item_id"": 2123, ""age"": 35, ""income"": 73102, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""M""}",0
124,"{""user_id"": 1124, ""item_id"": 2124, ""age"": 54, ""income"": 59495, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
125,"{""user_id"": 1125, ""item_id"": 2125, ""age"": 33, ""income"": 61354, ""cate_id"": ""103"", ""brand"": ""BrandC"", ""gender"": ""M""}",0
126,"{""user_id"": 1126, ""item_id"": 2126, ""age"": 53, ""income"": 63420, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",0
127,"{""user_id"": 1127, ""item_id"": 2127, ""age"": 36, ""income"": 30000, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""M""}",1
128,"{""user_id"": 1128, ""item_id"": 2128, ""age"": 32, ""income"": 61577, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
129,"{""user_id"": 1129, ""item_id"": 2129, ""age"": 46, ""income"": 57826, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""F""}",0
130,"{""user_id"": 1130, ""item_id"": 2130, ""age"": 41, ""income"": 57503, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
131,"{""user_id"": 1131, ""item_id"": 2131, ""age"": 40, ""income"": 63574, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",0
132,"{""user_id"": 1132, ""item_id"": 2132, ""age"": 39, ""income"": 69273, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""M""}",0
133,"{""user_id"": 1133, ""item_id"": 2133, ""age"": 24, ""income"": 51333, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
134,"{""user_id"": 1134, ""item_id"": 2134, ""age"": 35, ""income"": 69473, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
135,"{""user_id"": 1135, ""item_id"": 2135, ""age"": 32, ""income"": 54069, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""F""}",0
136,"{""user_id"": 1136, ""item_id"": 2136, ""age"": 28, ""income"": 79149, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""M""}",1
137,"{""user_id"": 1137, ""item_id"": 2137, ""age"": 37, ""income"": 44822, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""M""}",1
138,"{""user_id"": 1138, ""item_id"": 2138, ""age"": 40, ""income"": 79635, ""cate_id"": ""102"", ""brand"": ""BrandD"", ""gender"": ""F""}",1
139,"{""user_id"": 1139, ""item_id"": 2139, ""age"": 47, ""income"": 95075, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
140,"{""user_id"": 1140, ""item_id"": 2140, ""age"": 36, ""income"": 87745, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
141,"{""user_id"": 1141, ""item_id"": 2141, ""age"": 33, ""income"": 72332, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",0
142,"{""user_id"": 1142, ""item_id"": 2142, ""age"": 46, ""income"": 93502, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
143,"{""user_id"": 1143, ""item_id"": 2143, ""age"": 32, ""income"": 55624, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
144,"{""user_id"": 1144, ""item_id"": 2144, ""age"": 40, ""income"": 54532, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
145,"{""user_id"": 1145, ""item_id"": 2145, ""age"": 42, ""income"": 91114, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
146,"{""user_id"": 1146, ""item_id"": 2146, ""age"": 34, ""income"": 72448, ""cate_id"": ""101"", ""brand"": ""BrandD"", ""gender"": ""F""}",0
147,"{""user_id"": 1147, ""item_id"": 2147, ""age"": 38, ""income"": 45202, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
148,"{""user_id"": 1148, ""item_id"": 2148, ""age"": 21, ""income"": 70654, ""cate_id"": ""103"", ""brand"": ""BrandD"", ""gender"": ""F""}",0
149,"{""user_id"": 1149, ""item_id"": 2149, ""age"": 21, ""income"": 31092, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""M""}",0
150,"{""user_id"": 1150, ""item_id"": 2150, ""age"": 31, ""income"": 35376, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""F""}",0
151,"{""user_id"": 1151, ""item_id"": 2151, ""age"": 27, ""income"": 45532, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""M""}",0
152,"{""user_id"": 1152, ""item_id"": 2152, ""age"": 52, ""income"": 71054, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""F""}",1
153,"{""user_id"": 1153, ""item_id"": 2153, ""age"": 21, ""income"": 50531, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""M""}",1
154,"{""user_id"": 1154, ""item_id"": 2154, ""age"": 22, ""income"": 30000, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
155,"{""user_id"": 1155, ""item_id"": 2155, ""age"": 23, ""income"": 64311, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
156,"{""user_id"": 1156, ""item_id"": 2156, ""age"": 25, ""income"": 63260, ""cate_id"": ""103"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
157,"{""user_id"": 1157, ""item_id"": 2157, ""age"": 22, ""income"": 62475, ""cate_id"": ""102"", ""brand"": ""BrandC"", ""gender"": ""M""}",1
158,"{""user_id"": 1158, ""item_id"": 2158, ""age"": 29, ""income"": 60904, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""M""}",1
159,"{""user_id"": 1159, ""item_id"": 2159, ""age"": 38, ""income"": 42792, ""cate_id"": ""102"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
160,"{""user_id"": 1160, ""item_id"": 2160, ""age"": 38, ""income"": 58537, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
161,"{""user_id"": 1161, ""item_id"": 2161, ""age"": 40, ""income"": 51045, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""F""}",0
162,"{""user_id"": 1162, ""item_id"": 2162, ""age"": 19, ""income"": 48547, ""cate_id"": ""103"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
163,"{""user_id"": 1163, ""item_id"": 2163, ""age"": 28, ""income"": 65604, ""cate_id"": ""101"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
164,"{""user_id"": 1164, ""item_id"": 2164, ""age"": 27, ""income"": 51158, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
165,"{""user_id"": 1165, ""item_id"": 2165, ""age"": 18, ""income"": 69373, ""cate_id"": ""102"", ""brand"": ""BrandB"", ""gender"": ""F""}",1
166,"{""user_id"": 1166, ""item_id"": 2166, ""age"": 42, ""income"": 66219, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
167,"{""user_id"": 1167, ""item_id"": 2167, ""age"": 38, ""income"": 54893, ""cate_id"": ""101"", ""brand"": ""BrandA"", ""gender"": ""M""}",1
168,"{""user_id"": 1168, ""item_id"": 2168, ""age"": 34, ""income"": 34993, ""cate_id"": ""101"", ""brand"": ""BrandC"", ""gender"": ""M""}",1
